ID,Name,ItemIDs,BonusThresholds,BonusSpellIDs,SourceTemplateID
902,Regalia of the Bronzebeard Clan,284544|281954|289114|281384|284563|0|0|0|0|0,2|4,51262|51263,755
903,Raiment of the Dragon Queen,341366|340871|340568|346646|344715|0|0|0|0|0,2|4,51262|51263,755
904,Battleplate of the Scarlet Keep,201725|205764|200421|202342|206108|0|0|0|0|0,2|4,37512|37513,653
905,Vestments of the Wildhammer Clan,368928|360480|362553|366261|362492|0|0|0|0|0,2|4,51262|51263,755
906,Regalia of the Scarlet Keep,280355|280268|284286|282065|288975|0|0|0|0|0,2|4,29097|41892,185
907,Battlegear of the Wild Hunt,267826|269420|261928|260953|260522|0|0|0|0|0,2|4,29094|30772,186
908,Raiment of the Silver Hand,347441|348570|344326|345541|345380|0|0|0|0|0,2|4,29097|41892,185
909,Battlegear of the Frostborn Vigil,303192|303207|301554|307471|303669|0|0|0|0|0,2|4,37610|37611,661
910,Warplate of the Wyrmrest Accord,306055|300991|300791|301053|300002|0|0|0|0|0,2|4,67115|67118,871
911,Battleplate of the Black Citadel,302117|300710|301275|300193|302365|0|0|0|0|0,2|4,70655|70656,897
912,Warplate of the Emerald Dream,227342|226770|224214|220830|229450|0|0|0|0|0,2|4,46534|23302,752
913,Raiment of the Raven Court,341926|341397|346931|343724|347090|0|0|0|0|0,2|4,29097|41892,185
914,Regalia of the Titan Forge,342580|348247|345064|343360|345005|0|0|0|0|0,2|4,29097|41892,185
915,Warplate of the Bronzebeard Clan,308255|300310|300276|300985|300992|0|0|0|0|0,2|4,70650|70652,898
916,Raiment of the Warsong Clan,363336|361256|367718|360485|367138|0|0|0|0|0,2|4,51262|51263,755
917,Regalia of the Wintergrasp Guard,363370|360978|362222|362322|360088|0|0|0|0|0,2|4,29097|41892,185
918,Vestments of the Ulduar Watch,348799|349674|349722|342266|341880|0|0|0|0|0,2|4,51262|51263,755
919,Harness of the Frostborn Vigil,381793|387669|382294|380984|389106|0|0|0|0|0,2|4,29096|41835,184
920,Raiment of the Drowned Hall,267401|268989|264906|263016|262239|0|0|0|0|0,2|4,29094|30772,186
921,Battlegear of the Ancient North,204806|204857|202161|200723|203494|0|0|0|0|0,2|4,41793|22738,282
922,Harness of the High Citadel,383931|382933|386688|380342|389342|0|0|0|0|0,2|4,29094|30772,186
923,Regalia of the Storm Crown,345043|347713|340065|343631|343506|0|0|0|0|0,2|4,51262|51263,755
924,Warplate of the Ebon Watch,302158|303461|301619|300589|300341|0|0|0|0|0,2|4,70650|70652,898
925,Battlegear of the Dragon Queen,308383|300602|302571|306984|304168|0|0|0|0|0,2|4,37610|37611,661
926,Regalia of the Argent Vanguard,286238|281312|283050|283724|280169|0|0|0|0|0,2|4,51262|51263,755
927,Battlegear of the Frostwolf Clan,269072|266018|263657|262620|261733|0|0|0|0|0,2|4,67209|67211,857
928,Regalia of the Frostborn Vigil,365796|362236|361654|360198|360064|0|0|0|0|0,2|4,29097|41892,185
929,Raiment of the Shattered Crown,384561|383188|387180|380963|386717|0|0|0|0|0,2|4,29096|41835,184
930,Raiment of the Deep Forge,382683|386474|385125|387800|383029|0|0|0|0|0,2|4,51223|51225,756
931,Regalia of the High Citadel,360985|365921|360386|362462|366318|0|0|0|0|0,2|4,51262|51263,755
932,Raiment of the Frozen Star,381107|382834|386193|383054|384029|0|0|0|0|0,2|4,29097|41892,185
933,Battlegear of the Storm Crown,205311|206170|205951|204853|207933|0|0|0|0|0,2|4,29093|41818,188
934,Regalia of the Violet Citadel,361677|361869|362106|363810|364795|0|0|0|0|0,2|4,37609|37617,660
935,Harness of the Sunreaver Host,322980|321315|325628|322388|326025|0|0|0|0|0,2|4,51223|51225,756
936,Harness of the Twilight Reach,321723|322064|329232|321444|324533|0|0|0|0|0,2|4,70830|70832,894
937,Raiment of the Emerald Dream,369516|364648|360061|365155|361865|0|0|0|0|0,2|4,51262|51263,755
938,Raiment of the Hallowed Flame,340570|343418|346274|345578|340813|0|0|0|0|0,2|4,37207|37209,630
939,Vestments of the Ebon Watch,345751|340428|343986|343363|340617|0|0|0|0|0,2|4,37180|37181,623
940,Warplate of the Icecrown Citadel,207406|205041|207666|209290|206569|0|0|0|0|0,2|4,37512|37513,653
941,Battlegear of the Argent Vanguard,303472|307927|302013|300538|300322|0|0|0|0|0,2|4,37512|37513,653
