entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets
200000,Warrior,Battleplate Legguards of Light Oath,3,61,93,tank,armor,,7,4,43740,31242,88,538,0.0,
200001,Warrior,Ring of the Fallen Watch,3,75,160,strength_dps,finger,,11,0,53242,41756,158,0,0.0,8
200002,Warrior,Dawn Ray Greaves,4,78,184,tank,armor,,7,4,51532,35678,183,1291,0.0,
200003,Warrior,Helm of the Dawnwatch,3,72,146,tank,armor,,1,4,47759,33697,146,753,0.0,2|8
200004,Warrior,Fierce Brand Pauldrons,2,78,182,tank,armor,,3,4,51770,36401,182,776,0.0,
200005,Warrior,The Rune-carved Pendant,3,70,128,tank,neck,,2,0,43599,30099,128,0,0.0,
200006,Warrior,Girdle of Silver Flame,3,72,147,tank,armor,,6,4,50753,38533,146,506,0.0,8
200007,Warrior,War Leggings of the Titan Vault,2,59,85,strength_dps,armor,,7,4,41532,29945,81,419,0.0,
200008,Warrior,Titan Queen's Pendant,2,13,16,tank,neck,,2,0,6539,25438,18,0,0.0,
200009,Warrior,Forgotten Queen's Starsteel Heart,2,53,59,strength_dps,trinket,,12,0,31481,17901,60,0,0.0,
200010,Warrior,Hearthkeeper's Bleak Warplate,3,79,189,tank,armor,,5,4,56609,43209,187,1434,0.0,
200011,Warrior,"Leggings, Void Flame",2,1,5,strength_dps,armor,,7,3,26948,9599,10,10,0.0,
200012,Warrior,Soldierly Warbelt of Northern Forge,2,14,15,strength_dps,armor,,6,3,25757,6548,16,18,0.0,
200013,Warrior,"Bracers, Icefang Hammer",3,76,168,strength_dps,armor,,9,4,56518,44038,174,362,0.0,8
200014,Warrior,"Greaves, Wind Vine",2,5,12,strength_dps,armor,,8,3,26944,3302,15,16,0.0,
200015,Warrior,"Charred Girdle, Violet Guardian's Oath",2,21,24,tank,armor,,6,3,8749,5750,23,30,0.0,
200016,Warrior,"Heart, Twilight Howl",2,35,40,strength_dps,trinket,,12,0,39914,21748,40,0,0.0,
200017,Warrior,Ironthane Warboots,2,24,30,tank,armor,,8,3,25804,4073,31,46,0.0,
200018,Warrior,Northwind Wristguards of the Broken Banner,4,1,7,tank,armor,,9,3,22685,28148,10,6,0.0,
200019,Warrior,Emberkeeper's Armplates,3,49,52,tank,armor,,3,4,28351,13066,51,195,0.0,
200020,Warrior,"Waistplate, Scourge Anchor",2,73,150,tank,armor,,6,4,56138,38108,146,470,0.0,
200021,Warrior,"Deepdelver Casque, Warwarden's Oath",2,15,22,strength_dps,armor,,1,3,15517,6389,31,43,0.0,
200022,Warrior,Magebound Hoop of the North Wind,3,41,44,strength_dps,finger,,11,0,3258,9461,37,0,0.0,
200023,Warrior,Ironcaller's Reinforced Seal,3,77,177,strength_dps,finger,,11,0,56875,43177,175,0,0.0,4
200024,Warrior,Manawoven Rune Band of Astral Gate,4,80,232,strength_dps,finger,,11,0,59327,45871,226,0,0.0,
200025,Warrior,Execution Axe of the Forgotten King,3,75,164,strength_dps,2h_axe,2h_axe,17,1,52941,41181,159,0,137.656,
200026,Warrior,Flamewarden's Corpsebound Belt,2,38,43,tank,armor,,6,3,27117,15606,41,61,0.0,
