reference_entry,displayid,item_level,quality
61,16953,5,1
79,16847,5,1
80,16854,5,1
195,16582,5,1
209,17140,5,1
210,14444,5,1
711,16581,5,1
714,14445,5,1
719,16970,5,1
720,2368,28,3
727,26577,10,2
744,18059,44,2
754,20218,47,3
756,6264,29,2
776,6452,31,3
789,19699,22,2
790,19401,23,2
791,20334,31,3
809,20033,50,4
812,20257,54,4
820,6470,17,2
821,17102,13,2
826,19271,15,2
827,3498,17,2
832,6847,15,2
833,22978,56,4
862,18397,50,3
863,19213,37,2
864,26579,38,2
865,5212,31,2
866,20357,42,2
867,17180,42,4
871,19235,47,4
872,19242,21,3
873,20298,40,4
880,20382,23,2
885,8494,24,2
886,20093,26,2
888,17182,27,3
890,20386,24,3
892,16950,22,2
897,17011,29,2
899,6459,19,2
911,28628,25,2
913,20170,29,2
914,2829,30,2
920,19703,25,2
934,19405,37,3
935,8274,20,3
936,5215,38,3
937,20329,38,3
943,20256,48,4
996,3453,2,1
1009,8583,13,2
1020,13552,1,1
1021,13551,1,1
1022,15299,1,1
1023,15297,1,1
1024,15304,1,1
1025,15302,1,1
1027,15294,1,1
1076,6012,25,2
1121,703,24,3
1155,20327,29,3
1156,9839,22,3
1162,13219,10,1
1163,13218,10,1
1168,30993,59,4
1173,6777,10,1
1182,6852,10,1
1190,15120,20,2
1203,2594,54,3
1207,5223,39,2
1211,14260,15,2
1214,19625,17,2
1215,16942,22,2
1216,9559,33,2
1219,20122,16,2
1220,19232,20,2
1264,5530,26,2
1265,20156,39,3
1273,12723,25,2
1280,15298,38,2
1282,15324,33,2
1296,5195,21,2
1297,19035,31,2
1299,16717,22,2
1300,20391,20,2
1302,17174,18,2
1304,16818,20,2
1306,11387,20,2
1310,16971,20,2
1314,17179,20,2
1315,6524,51,4
1317,20377,25,2
1318,19290,23,3
1319,14437,25,2
1351,16897,28,2
1355,23014,15,2
1360,7000,10,1
1383,8495,5,1
1388,20450,3,1
1391,20410,18,2
1405,5540,17,2
1406,5638,21,2
1436,17144,17,2
1440,8570,19,2
1444,6504,40,3
1446,6841,19,2
1447,14438,46,4
1448,6842,20,2
1454,8457,27,3
1455,22214,24,2
1457,19683,22,2
1458,8601,23,2
1459,19136,24,2
1460,20109,20,2
1461,19375,25,2
1462,9846,25,2
1465,20594,38,2
1469,20154,19,2
1473,20402,19,2
1480,9381,17,2
1481,25595,25,3
1482,20089,24,3
1483,9117,21,3
1484,9122,22,3
1486,9889,24,3
1489,8676,25,3
1493,5165,27,3
1521,19306,44,2
1522,22239,36,2
1523,5534,36,2
1539,20395,19,2
1560,16856,21,2
1561,12671,15,2
1566,20078,17,2
1602,8489,39,3
1604,63370,45,2
1607,20272,54,3
1608,19743,47,2
1613,28470,44,2
1624,15340,43,2
1625,26586,41,2
1640,8526,42,2
1659,1795,40,2
1677,8678,46,2
1678,11269,37,3
1679,5137,36,2
1680,19304,44,2
1713,23949,45,3
1716,16667,40,3
1717,12960,30,3
1718,17137,43,3
1720,21460,46,3
1721,8581,54,3
1722,15467,42,3
1726,20749,36,3
1727,5166,28,3
1728,19997,65,4
1832,16845,17,2
1835,14443,5,1
1836,14249,5,1
1893,19234,20,2
1917,20435,10,2
1925,20114,16,2
1927,19276,15,2
1928,20415,16,2
1929,16848,18,2
1930,23067,18,2
1933,20418,15,2
1934,6774,20,2
1935,20471,24,3
1936,20399,18,2
1937,5040,21,3
1938,8565,22,2
1944,17062,18,2
1945,17189,18,2
1955,6907,27,2
1958,1759,17,2
1959,14038,17,2
1973,6506,59,3
1974,16901,22,3
1975,20179,28,3
1976,8590,29,3
1978,12813,27,3
1979,18793,50,4
1981,8668,44,4
1982,20191,44,4
1986,20638,41,2
1988,25892,38,2
1990,5533,36,2
1991,18269,34,2
1993,14436,36,2
1994,19129,46,2
1997,16670,34,2
1998,20356,33,2
2000,20251,35,2
2011,20120,26,3
2013,20373,26,2
2015,19255,28,2
2016,1727,26,2
2017,6738,28,2
2018,20088,27,2
2020,20492,18,2
2021,18650,21,2
2032,16887,36,2
2033,10711,25,2
2034,12699,25,2
2035,5161,24,2
2036,17054,18,2
2037,11447,18,2
2041,8703,24,3
2042,20379,24,3
2044,19220,35,3
2046,22226,24,2
2047,8473,5,1
2055,8579,4,1
2057,20175,4,1
2059,22991,24,3
2072,20363,27,2
2073,19134,15,2
2074,20168,18,2
2075,5218,12,2
2077,28578,29,2
2078,20157,18,2
2079,19637,17,2
2080,19400,34,2
2084,20152,30,2
2087,17095,13,2
2088,6455,15,2
2089,20407,18,2
2117,16576,5,1
2119,16969,5,1
2122,14425,5,1
2123,14426,5,1
2124,14427,5,1
2125,17176,5,1
2132,22149,4,1
2137,6437,5,1
2139,22135,3,1
2140,6440,11,2
2166,685,20,2
2167,17178,20,2
2168,16713,21,2
2169,20347,21,3
2172,9895,5,1
2173,28227,5,1
2175,8534,23,2
2186,4545,5,1
2194,8567,25,3
2203,8506,19,2
2204,20038,17,2
2205,20153,25,3
2218,20451,13,2
2226,20372,27,2
2227,22219,27,2
2230,6930,24,2
2231,16671,40,2
