entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets,itemset,special_effect_feature,effect_source_entry,effect_source_spell,socketBonus,DisenchantID
200000,Warrior,Snowbound Loop,2,13,20,tank,finger,,11,0,23608,24349,20,0,0.0,,0,,0,0,0,2
200001,Warrior,Boar Branch Longcloak,3,48,55,tank,back,,16,1,28693,12608,58,25,0.0,,0,,0,0,0,47
200002,Warrior,Shadowwoven Girdle,2,13,14,strength_dps,armor,,6,3,6864,26039,15,17,0.0,,0,,0,0,0,1
200003,Warrior,War Mantle of the Howling Fjord,2,23,29,tank,armor,,3,3,25799,6597,28,47,0.0,,0,,0,0,0,24
200004,Warrior,Signet Ring of the Long Road,3,70,131,tank,finger,,11,0,51230,37526,138,0,0.0,,0,,0,0,0,53
200005,Warrior,Shadowguard's Gray Wrist Chains,2,26,27,strength_dps,armor,,9,3,28275,15459,28,21,0.0,,0,,0,0,0,24
200006,Warrior,Greaves of the Searing Gorge,3,13,17,tank,armor,,8,3,11935,6459,23,27,0.0,,0,,0,0,0,41
200007,Warrior,Frozen Knight's Harness,2,5,6,strength_dps,armor,,5,3,12944,6195,15,13,0.0,,0,,0,0,0,1
200008,Warrior,The Arcanized Helm,2,20,25,tank,armor,,1,3,27774,10408,32,46,0.0,,0,,0,0,0,23
200009,Warrior,Emerald Promise Legplates,2,80,200,tank,armor,,7,4,55834,40837,200,1199,0.0,,0,,0,0,0,35
200010,Warrior,Battlemage's Pendant Chain of the Icecrown,4,68,116,tank,neck,,2,0,48071,34679,115,0,0.0,,0,,0,0,0,67
200011,Warrior,Star Walker Legmail,2,34,39,strength_dps,armor,,7,3,4912,4741,37,94,0.0,,0,,0,0,0,26
200012,Warrior,The Bloodmarked Battlehelm,3,72,143,tank,armor,,1,4,52302,37787,154,755,0.0,,0,,0,0,0,53
200013,Warrior,Frostlord's Nightcloak of the Stone King,3,75,162,tank,back,,16,1,54512,43278,167,90,0.0,,0,,0,0,0,53
200014,Warrior,Vrykul Brooch of the Dalaran Watch,3,72,146,tank,neck,,2,0,45351,32349,141,0,0.0,,0,,0,0,0,53
200015,Warrior,Divine Sabatons,3,77,178,strength_dps,armor,,8,4,57271,43174,175,791,0.0,2,0,,0,0,2868,54
200016,Warrior,Dreamwarden's Windforged Girdle,2,55,60,tank,armor,,6,4,26879,14864,59,166,0.0,,0,,0,0,0,10
200017,Warrior,Battlemaiden's Cuirass of the Star Grove,2,42,49,tank,armor,,5,4,26687,14835,48,245,0.0,,0,,0,0,0,28
200018,Warrior,Dragoncaller's Stoneforged Mark,2,64,103,tank,finger,,11,0,41951,25779,105,0,0.0,,0,,0,0,0,33
200019,Warrior,Tombwarden's Greaves,2,31,32,strength_dps,armor,,8,3,7002,4464,32,49,0.0,,0,,0,0,0,5
200020,Warrior,Wolfkeeper's Clouded Girdle,2,55,56,strength_dps,armor,,6,4,27935,14934,57,147,0.0,,0,,0,0,0,10
200021,Warrior,Warplate of Blood Price,2,57,61,strength_dps,armor,,5,4,25749,12422,60,313,0.0,,0,,0,0,0,11
200022,Warrior,"Greaves, Iron Mark",3,53,59,strength_dps,armor,,7,4,19843,11802,58,310,0.0,,0,,0,0,0,48
200023,Warrior,Soulwarden's Epaulets of the Scourge Host,3,36,38,tank,armor,,3,3,18333,9430,45,72,0.0,,0,,0,0,0,44
200024,Warrior,Zealous Chestplate,3,68,119,tank,armor,,5,4,42873,28337,115,793,0.0,,0,,0,0,0,52
200025,Warrior,Harsh Vambraces,4,67,116,strength_dps,armor,,9,4,41275,28984,113,254,0.0,,0,,0,0,0,67
200026,Warrior,Ancient Knight's Dreaming Battlecloak,3,46,50,tank,back,,16,1,28609,13109,49,22,0.0,,0,,0,0,0,46
