profile_id,encounter,rank,pool_id,item_count,chance,quantity,loot_mode,item_level_min,item_level_max,parent_type,parent_entry
map_269_difficulty_0,trash,0,3100000,31,2.0,1,1,114,120,creature,17952
map_269_difficulty_0,trash,0,3100000,31,2.0,1,1,114,120,creature,18982
map_269_difficulty_0,trash,0,3100000,31,2.0,1,1,114,120,creature,18983
map_269_difficulty_1,trash,0,3110000,20,2.0,1,2,114,120,creature,17952
map_269_difficulty_1,trash,0,3110000,20,2.0,1,2,114,120,creature,18982
map_269_difficulty_1,trash,0,3110000,20,2.0,1,2,114,120,creature,18983
map_289_difficulty_0,boss_000452,0,3120000,15,2.0,1,1,58,101,creature,10503
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10469
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10470
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10471
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10472
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10475
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10476
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10477
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10478
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10480
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10481
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10485
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10486
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10487
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10488
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10489
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10491
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10495
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10498
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10499
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10500
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,10678
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,11257
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,11551
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,11582
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,14695
map_289_difficulty_0,trash,0,3120001,4,2.0,1,1,58,101,creature,14861
map_289_difficulty_0,boss_000453,1,3120002,11,2.0,1,1,58,101,creature,11622
map_289_difficulty_0,boss_000454,2,3120003,9,2.0,1,1,58,101,creature,10433
map_289_difficulty_0,boss_000455,3,3120004,15,2.0,1,1,58,101,creature,10432
map_289_difficulty_0,boss_000456,4,3120005,9,2.0,1,1,58,101,creature,10508
map_289_difficulty_0,boss_000457,5,3120006,14,2.0,1,1,58,101,creature,10505
map_289_difficulty_0,boss_000458,6,3120007,9,2.0,1,1,58,101,creature,11261
map_289_difficulty_0,boss_000459,7,3120008,7,2.0,1,1,58,101,creature,10901
map_289_difficulty_0,boss_000460,8,3120009,9,2.0,1,1,58,101,creature,10507
map_289_difficulty_0,boss_000461,9,3120010,13,2.0,1,1,58,101,creature,10504
map_289_difficulty_0,boss_000462,10,3120011,11,2.0,1,1,58,101,creature,10502
map_289_difficulty_0,boss_000463,11,3120012,9,2.0,1,1,58,101,creature,1853
map_309_difficulty_0,boss_000784,0,3130000,23,2.0,1,1,57,104,creature,14507
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11338
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11339
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11340
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11350
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11351
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11352
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11353
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11356
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11357
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11359
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11360
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11361
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11365
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11368
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11370
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11371
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11372
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11373
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11387
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11388
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11390
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11391
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11830
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,11831
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14532
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14750
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14821
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14825
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14880
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14882
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,14883
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,15043
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,15067
map_309_difficulty_0,trash,0,3130001,7,2.0,1,1,57,104,creature,15111
map_309_difficulty_0,boss_000785,1,3130002,24,2.0,1,1,57,104,creature,14517
map_309_difficulty_0,boss_000786,2,3130003,19,2.0,1,1,57,104,creature,14510
map_309_difficulty_0,boss_000787,3,3130004,26,2.0,1,1,57,104,creature,11382
map_309_difficulty_0,boss_000789,4,3130005,14,2.0,1,1,57,104,creature,14509
map_309_difficulty_0,boss_000792,5,3130006,22,2.0,1,1,57,104,creature,11380
map_309_difficulty_0,boss_000793,6,3130007,13,2.0,1,1,57,104,creature,14834
map_329_difficulty_0,boss_000472,0,3140000,23,2.0,1,1,56,101,creature,10516
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10381
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10382
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10384
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10385
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10390
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10391
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10393
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10398
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10399
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10400
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10405
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10406
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10407
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10408
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10409
map_329_difficulty_0,trash,0,3140001,7,2.0,1,1,56,101,creature,10411
