profile_id,map_id,difficulty_id,encounter_id,encounter_name,gameobject_entry,gameobject_name,loot_entry,spawn_guid,spawn_mask,spawn_count,difficulty_scope,association_method,association_source,direct_item_count,reference_item_count,valid,invalid_reason
,0,,,,32,Sunken Chest,1683,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,41,Ambassador\'s Locker,1697,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,52,Fall of Gurubashi,1691,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,54,The Emperor\'s Tomb,1692,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,57,Moon Over the Vale,1689,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,58,Gri\'lek the Wanderer,1690,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,119,Abercrombie\'s Crate,1688,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,263,Kurzen Supplies,1695,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,264,Kurzen Supplies,1695,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,271,Miners\' League Crates,1677,,,10,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,272,MacGrann\'s Meat Locker,1682,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,276,Shimmerweed Basket,797,,,16,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,290,Furlbrow\'s Wardrobe,1687,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,321,Tear of Tilloa,1699,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,324,Small Thorium Vein,9597,,,123,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,331,Loose Soil,1681,,,2,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,333,Ancient Relic,1680,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,334,Ancient Relic,1679,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,375,Tirisfal Pumpkin,1694,,,32,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,759,The Holy Spring,938,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1165,Gunther\'s Books,1684,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1166,Alexston\'s Chest,1693,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1560,Storage Chest,1686,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1562,Marshal Haggard\'s Chest,1685,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1571,Dusty Spellbooks,1696,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1594,Berard\'s Bookshelf,1698,,,1,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1610,Incendicite Mineral Vein,1409,,,4,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1617,Silverleaf,1414,,,398,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1618,Peacebloom,1415,,,278,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1619,Earthroot,1416,,,239,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1620,Mageroyal,1417,,,245,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1621,Briarthorn,1418,,,338,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1622,Bruiseweed,1419,,,269,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1623,Wild Steelbloom,1420,,,179,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1624,Kingsblood,1421,,,316,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1628,Grave Moss,1424,,,37,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
,0,,,,1667,Incendicite Mineral Vein,1409,,,2,,static_spawn,Data/gameobject.sql;Data/gameobject_template.sql;Data/gameobject_loot_template.sql,0,0,False,static map/spawn has no boss association
