entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets
200000,Warrior,Scourgeforged Epaulets,3,29,34,strength_dps,armor,,3,3,18333,9430,45,63,0.0,
200001,Warrior,Dark Carver Chestguard,2,28,35,strength_dps,armor,,5,3,25801,4071,31,95,0.0,
200002,Warrior,"Backcloth, Gold Flame",3,31,37,tank,back,,16,1,28602,13121,38,16,0.0,
200003,Warrior,Great Runeblade of Frozen Star,2,9,13,tank,2h_sword,2h_sword,17,8,38270,27390,16,0,8.281,
200004,Warrior,Bonecrusher of Titan Watcher,2,38,40,tank,2h_mace,2h_mace,17,5,5533,1990,36,0,27.059,
200005,Warrior,Icekeeper's Mail of the Tempest Keep,3,8,14,tank,armor,,5,3,16903,6907,25,36,0.0,
200006,Warrior,"Pauldrons, Last Grip",2,43,46,tank,armor,,3,4,29955,17779,47,154,0.0,
200007,Warrior,"Corrupted Casque, Scarlet Templar's Oath",2,21,25,tank,armor,,1,3,30091,7420,33,48,0.0,
200008,Warrior,Runering of the Burning Sky,2,37,38,strength_dps,finger,,11,0,28831,20961,38,0,0.0,
200009,Warrior,Frostcaller's Greatcloak of the Valgarde,3,3,9,strength_dps,back,,16,1,35378,22990,21,4,0.0,
200010,Warrior,Orb of War Forge,3,66,110,strength_dps,trinket,,12,0,43101,28034,112,0,0.0,
200011,Warrior,Wolfwarden's Greaves of the Golden Banner,3,66,115,tank,armor,,7,4,42839,27487,115,677,0.0,
200012,Warrior,Warsage's Armplates,2,43,44,strength_dps,armor,,3,4,26688,14841,44,139,0.0,
200013,Warrior,Feral Cuirass of Twilight Oath,3,57,63,tank,armor,,5,4,26387,12970,63,392,0.0,
200014,Warrior,Storm King's Breastplate,3,68,112,tank,armor,,5,4,44551,29127,115,747,0.0,
200015,Warrior,Girdle of the Ancient Promise,2,21,24,strength_dps,armor,,6,3,25795,6594,28,30,0.0,
200016,Warrior,"Thunder Hammer, Broken Vault",3,40,41,strength_dps,2h_mace,2h_mace,17,5,25079,6976,40,0,37.857,
200017,Warrior,Shoulderplates of the Dragon Rider,4,80,213,tank,armor,,3,4,57006,40530,213,1180,0.0,
200018,Warrior,Pendant of Old Kingdom,3,41,46,tank,neck,,2,0,6546,4743,50,0,0.0,
200019,Warrior,Scarlet Inquisitor's Greaves,3,58,85,strength_dps,armor,,7,4,40764,24931,84,464,0.0,
200020,Warrior,Nightkeeper's Mail,2,10,17,tank,armor,,5,3,26957,15487,16,40,0.0,
200021,Warrior,War Leggings of the Violet Crown,2,49,51,strength_dps,armor,,7,4,26800,14920,51,227,0.0,
200022,Warrior,Raven Ray Backcloth,2,52,58,tank,back,,16,1,27850,10258,60,23,0.0,
200023,Warrior,"Girdle, Broken Mark",2,19,21,strength_dps,armor,,6,3,25775,9788,18,27,0.0,
