ID,Name,ItemIDs,BonusThresholds,BonusSpellIDs,SourceTemplateID
902,Harness of the Black Citadel,261828|266308|260969|262383|268299|0|0|0|0|0,2|4,37165|37166,620
903,Regalia of the Wyrmrest Accord,325592|321754|325561|321778|326919|0|0|0|0|0,2|4,40047|22804,603
904,Raiment of the Lordaeron Guard,384907|385027|384826|386096|380025|0|0|0|0|0,2|4,51262|51263,755
905,Raiment of the Dragonblight Vanguard,282324|280921|280562|282964|280907|0|0|0|0|0,2|4,51262|51263,755
906,Warplate of the Hallowed Flame,308390|308389|304003|300060|305158|0|0|0|0|0,2|4,37512|37513,653
907,Battleplate of the Violet Citadel,223884|220334|228221|221022|228580|0|0|0|0|0,2|4,40046|23302,607
908,Harness of the Dragonblight Vanguard,321225|326250|322468|321443|329213|0|0|0|0|0,2|4,51223|51225,756
909,Battlegear of the Ulduar Watch,266360|268510|261294|261054|260078|0|0|0|0|0,2|4,51273|51274,754
910,Regalia of the Wildhammer Clan,341844|341813|346423|346544|340879|0|0|0|0|0,2|4,51262|51263,755
911,Vestments of the Silver Hand,287292|285181|286834|282589|289413|0|0|0|0|0,2|4,51262|51263,755
912,Raiment of the Titan Forge,389662|381991|380875|382969|384517|0|0|0|0|0,2|4,29096|41835,184
913,Warplate of the Wild Hunt,225514|227852|222500|225108|220395|0|0|0|0|0,2|4,60149|60150,791
914,Harness of the Twilight Reach,321314|326968|320347|326850|329101|0|0|0|0|0,2|4,51273|51274,754
915,Battlegear of the Darkiron Vigil,325143|323637|328442|329313|329569|0|0|0|0|0,2|4,29096|41835,184
916,Regalia of the Northwatch,368469|363185|368852|362393|362120|0|0|0|0|0,2|4,51262|51263,755
917,Raiment of the Black Citadel,360887|361745|360192|366635|361731|0|0|0|0|0,2|4,29097|41892,185
918,Regalia of the Wild Hunt,344397|341627|340671|344335|343738|0|0|0|0|0,2|4,29097|41892,185
919,Raiment of the Icecrown Citadel,365077|365737|363700|363198|363743|0|0|0|0|0,2|4,29097|41892,185
920,Battlegear of the Warsong Clan,227735|225501|225604|222355|225510|0|0|0|0|0,2|4,29093|41818,188
921,Battlegear of the Argent Vanguard,380582|381364|380062|386735|381240|0|0|0|0|0,2|4,51223|51225,756
922,Battlegear of the Frostborn Vigil,307767|300004|304757|309537|306443|0|0|0|0|0,2|4,37512|37513,653
923,Regalia of the Moon Guard,347170|349004|344854|345609|344997|0|0|0|0|0,2|4,51262|51263,755
924,Regalia of the Ancient North,340869|345635|343125|341055|341181|0|0|0|0|0,2|4,51262|51263,755
925,Warplate of the Drowned Hall,209045|206874|205739|200892|203909|0|0|0|0|0,2|4,40050|22738,588
926,Vestments of the Frostwolf Clan,369632|363131|365485|364440|360033|0|0|0|0|0,2|4,37180|37181,623
927,Battleplate of the Icecrown Citadel,206131|209221|201417|201718|208679|0|0|0|0|0,2|4,41690|22738,281
928,Battleplate of the Shattered Crown,224827|223958|224147|226180|228105|0|0|0|0|0,2|4,37512|37513,653
929,Raiment of the Ebon Watch,385854|382042|381683|389330|384379|0|0|0|0|0,2|4,29097|41892,185
930,Raiment of the Crimson Dawn,340365|348507|348774|345857|349059|0|0|0|0|0,2|4,37207|37209,630
931,Regalia of the Bone Wastes,285952|286161|284289|284785|289108|0|0|0|0|0,2|4,51262|51263,755
932,Raiment of the Bronzebeard Clan,361243|367902|367041|362418|361403|0|0|0|0|0,2|4,29097|41892,185
933,Battlegear of the Black Citadel,306011|300473|300808|301526|300781|0|0|0|0|0,2|4,67115|67118,871
934,Regalia of the Warsong Clan,369881|364444|366309|369823|365173|0|0|0|0|0,2|4,29097|41892,185
935,Harness of the Bone Wastes,265081|263696|265312|264296|267177|0|0|0|0|0,2|4,51223|51225,756
936,Vestments of the Emerald Dream,345920|345221|345484|347039|341593|0|0|0|0|0,2|4,37180|37181,623
937,Raiment of the Wintergrasp Guard,380163|386201|384415|381463|382597|0|0|0|0|0,2|4,40047|33877,609
938,Raiment of the Drowned Hall,364950|368187|369767|362208|369915|0|0|0|0|0,2|4,29097|41892,185
939,Battlegear of the Emerald Dream,325179|325112|322236|326530|327581|0|0|0|0|0,2|4,51273|51274,754
940,Harness of the Ebon Watch,268041|268546|262167|268238|264600|0|0|0|0|0,2|4,51273|51274,754
941,Raiment of the Violet Citadel,346521|347379|347657|340347|341905|0|0|0|0|0,2|4,29097|41892,185
