entry,class_name,name,Quality,RequiredLevel,ItemLevel,role,kind,weapon_kind,InventoryType,subclass,displayid,reference_entry,reference_item_level,armor,dps,sockets,itemset,special_effect_feature,effect_source_entry,effect_source_spell,socketBonus,DisenchantID
200000,Warrior,The Murderous Legplates,2,44,51,strength_dps,armor,,7,4,26691,14840,47,228,0.0,,0,,0,0,0,9
200001,Warrior,Merciless Battleplate of the Netherstorm,3,79,196,tank,armor,,5,4,55983,44198,200,1513,0.0,,0,,0,0,0,54
200002,Warrior,Hoop of the Kings Promise,2,63,104,strength_dps,finger,,11,0,43120,31258,103,0,0.0,,0,,0,0,0,14
200003,Warrior,"Bloodsoaked Boots, Ebon Warden's Oath",2,13,17,tank,armor,,8,3,7554,5944,15,24,0.0,,0,,0,0,0,2
200004,Warrior,Neckguard of the Northern Watch,3,11,17,strength_dps,neck,,2,0,9854,21934,20,0,0.0,,0,,0,0,0,41
200005,Warrior,Enchanted Bracers of Sholazar,2,31,34,strength_dps,armor,,9,3,28169,9535,30,28,0.0,,0,,0,0,0,25
200006,Warrior,Ironlord's Warbelt,2,29,33,strength_dps,armor,,6,3,26037,7422,32,44,0.0,,0,,0,0,0,5
200007,Warrior,Iron Boots of Wild Moon,3,76,170,strength_dps,armor,,8,4,51628,40755,171,735,0.0,,0,,0,0,0,54
200008,Warrior,Bearded Axe of the Restless Dead,3,71,137,tank,1h_axe,1h_axe,13,0,46999,33476,138,0,88.947,,0,,0,0,0,53
200009,Warrior,Windbound Pauldrons,2,42,44,strength_dps,armor,,3,4,27361,9292,42,148,0.0,,0,,0,0,0,27
200010,Warrior,Corrupted Helm,2,56,63,tank,armor,,1,4,27180,14866,62,249,0.0,,0,,0,0,0,11
200011,Warrior,"Girdle, Sable Wake",2,9,15,strength_dps,armor,,6,3,25757,6548,16,18,0.0,,0,,0,0,0,1
200012,Warrior,Spellbinder's Vambraces of the Blade Edge,2,7,14,tank,armor,,9,3,27005,15495,15,10,0.0,,0,,0,0,0,1
200013,Warrior,Warmaster Vambraces of the Broken Banner,2,49,56,tank,armor,,9,4,27933,14938,56,87,0.0,,0,,0,0,0,10
200014,Warrior,Ivory Pact Neckchain,4,78,188,strength_dps,neck,,2,0,52454,37794,174,0,0.0,,0,,0,0,0,68
